"x","y","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
-84.48888531,13.81438052,259.25,85.5,73.0769230769231,838.96581358458,322,205,117,261.666666666667,262.5,269,250.166666666667,2817,468,60,58.020751010122,1254,224,398,434
-84.51454746,13.81887899,253.125,85.75,72.6694915254237,813.836313674037,318,200,118,255.166666666667,257.333333333333,263.333333333333,244.333333333333,2882,473,62,55.6143622970557,1253,242,409,460
-84.38118407,13.80397711,259.041666666667,82.9166666666667,71.4798850574713,853.724016863586,320,204,116,261.666666666667,261,268.166666666667,250.166666666667,2799,472,62,59.3490968255335,1267,214,391,427
-84.44493281,13.93375486,258.958333333333,83.9166666666667,72.3419540229885,847.310808417198,320,204,116,261.333333333333,260.333333333333,267.833333333333,250.166666666667,2877,468,64,57.1896881307357,1270,229,780,458
-84.46445182,13.72952338,257.958333333333,84.9166666666667,73.2040229885058,812.532050649901,321,205,116,260.166666666667,261.5,267.833333333333,249.166666666667,2757,464,58,59.1225226184458,1242,213,388,416
-84.50603846,13.88073299,260.333333333333,85.5,72.4576271186441,844.052274698814,323,205,118,262.833333333333,263.5,270,251.5,2840,465,61,57.2152194872081,1253,228,399,447
-84.81905712,11.52343259,259.833333333333,90.8333333333333,74.4535519125683,741.415517572279,324,202,122,260.166666666667,264.5,269.666666666667,252.5,2060,342,15,77.1823793555784,965,57,169,256
-84.70303681,11.44373076,251.083333333333,89.5,75.2100840336134,697.669279990472,312,193,119,252.5,253.5,259.333333333333,243.833333333333,1999,315,21,72.3166498984487,906,68,444,279
-84.67666068,11.38958728,256.5,89.6666666666667,75.3501400560224,717.635004720366,318,199,119,257.833333333333,259.833333333333,265.166666666667,248.833333333333,1980,304,21,70.9882023925401,888,69,186,277
-84.88822807,11.41072704,257.791666666667,92.0833333333333,74.260752688172,776.781920177827,323,199,124,258.5,262.833333333333,268.166666666667,250.166666666667,2180,342,19,75.1055762076633,1006,69,179,283
-84.78799826,11.41811511,258.333333333333,91,74.5901639344262,762.869383950947,322,200,122,258.833333333333,262.5,268.333333333333,250.5,2067,324,19,74.7461578514405,952,64,178,267
-84.77775415,11.40241395,255.416666666667,90.5,74.1803278688525,740.34185387972,319,197,122,256.5,259.166666666667,264.5,247.666666666667,2064,319,22,72.8015015201677,941,71,181,280
-84.4181135,11.16720001,254.291666666667,86.75,76.0964912280702,688.693866986082,312,198,114,256.5,256.333333333333,262.5,246.833333333333,2816,414,53,51.8749015508157,1113,188,611,597
-84.44359457,11.15589467,253.541666666667,87.25,76.5350877192982,693.626285720505,311,197,114,255.833333333333,255.5,262,246.166666666667,2797,409,54,51.6556621442733,1101,188,604,594
-84.40156799,11.20216886,253.666666666667,86.6666666666667,76.0233918128655,686.669608702141,311,197,114,255.833333333333,255.666666666667,262,246.5,2820,414,53,52.0946804994033,1119,188,612,595
