"pb","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",232.875,117.916666666667,76.0752688172043,807.387763097757,311,156,155,240.666666666667,227,242.5,224.166666666667,842,171,4,90.7302169836295,345,24,268,50
"2",257.791666666667,80.9166666666667,76.3364779874214,704.356035143041,311,205,106,260.5,259.833333333333,266.333333333333,250.5,4277,634,92,46.9944939232477,1616,372,890,1098
"1",231.708333333333,115.75,75.6535947712418,750.895929519995,310,157,153,238.5,227.666666666667,240.666666666667,223.833333333333,1112,237,3,100.818745722325,473,15,408,41
"2",241.25,101.666666666667,72.6190476190476,1008.48671510608,313,173,140,244.833333333333,241.333333333333,252.5,230.833333333333,2442,374,40,63.9975682805865,1090,131,592,337
"2",252.875,66.0833333333333,65.4290429042904,1043.18676964561,303,202,101,257.5,249,261.666666666667,242.5,2834,424,61,52.9085721231574,1098,195,624,341
"1",267.333333333333,96.8333333333333,72.8070175438596,842.704880222914,338,205,133,266.5,274,279.5,259,1481,303,5,87.1214531339331,675,23,150,411
"1",210.708333333333,105.083333333333,70.0555555555555,1198.00180856847,285,135,150,217.5,201.833333333333,223.166666666667,196.833333333333,1565,256,25,71.0226654869324,640,99,480,147
"2",251.083333333333,95.6666666666667,71.9298245614035,931.478134553632,319,186,133,254.333333333333,250.166666666667,261,241.833333333333,2398,380,38,60.688174654954,1044,138,577,359
"2",259.333333333333,78,71.5596330275229,833.484834713248,316,207,109,262.5,260.666666666667,267.833333333333,250.5,2787,460,67,57.6882942282658,1240,213,735,456
"2",242.666666666667,91.1666666666667,71.7847769028871,939.132417164745,307,180,127,246.5,240.166666666667,251.666666666667,233.5,2775,431,38,62.5262248172675,1221,143,588,453
"1",232.125,117.083333333333,74.1033755274262,971.672644089936,311,153,158,235.166666666667,232.666666666667,243.166666666667,221.833333333333,1066,196,7,81.7389179401098,463,37,288,91
"1",259.958333333333,91.75,73.4,838.683582476223,327,202,125,263,264,270.166666666667,251,2281,380,36,65.8217002085007,1032,139,304,291
"1",275.416666666667,105.5,71.7687074829932,942.393792745931,354,207,147,268.833333333333,274,288.833333333333,265.666666666667,1316,314,0,111.232589664854,584,3,160,395
"2",250.458333333333,85.0833333333333,77.3484848484848,684.390350249879,306,196,110,252.833333333333,252,259,243.166666666667,3459,498,78,46.6902642936182,1311,287,727,820
"2",248.625,83.0833333333333,74.1815476190476,743.800132000282,305,193,112,251.333333333333,248.333333333333,257.166666666667,241.166666666667,3149,525,49,56.5891467268879,1356,215,666,615
"1",261.875,92.4166666666667,73.9333333333333,785.124483470904,328,203,125,262,267.5,272.666666666667,254,2209,350,16,77.3723162444764,1029,62,178,271
"2",261.791666666667,71.75,69.6601941747573,843.277785929657,315,212,103,266.833333333333,262.5,270.833333333333,253.166666666667,3116,472,71,54.2865883094152,1305,239,789,557
"1",228.458333333333,116.416666666667,73.2180293501048,1008.25193761131,308,149,159,231.666666666667,228.833333333333,240,217.666666666667,1167,210,10,78.9827189004691,508,41,309,105
"2",251.083333333333,97.8333333333333,71.9362745098039,997.914491994847,323,187,136,255.5,253.5,262.666666666667,240.166666666667,2139,340,36,59.2271379970317,932,145,545,326
"2",248.708333333333,68.25,65,1106.48056576889,301,196,105,253,243.833333333333,257.333333333333,237.666666666667,2745,418,61,53.4042731860605,1066,189,605,316
"1",259.5,111.833333333333,73.5745614035088,907.293678023725,340,188,152,253.666666666667,256.5,271.5,250.5,1511,347,1,102.659174150736,682,9,255,405
"2",248.291666666667,85.75,75.8849557522124,726.904499583784,305,192,113,250.833333333333,249.166666666667,257,240.5,2333,344,32,60.9517740063652,984,120,517,414
"2",259.208333333333,73.5833333333333,70.7532051282051,838.954526163187,311,207,104,264.5,259.666666666667,268,250.833333333333,2837,456,57,60.4083850301697,1243,191,735,432
"2",245.166666666667,73.3333333333333,65.4761904761905,1149.769410347,302,190,112,249,240.166666666667,253.833333333333,233.5,2511,352,54,51.8448786268249,988,188,600,304
"1",252.916666666667,97.8333333333333,74.1161616161616,836.343049812514,321,189,132,254.333333333333,255.166666666667,263.166666666667,244.5,1313,280,5,87.8668440551743,609,27,323,116
"2",240.666666666667,97.1666666666667,71.9753086419753,953.78035715618,309,174,135,243.666666666667,240,250.833333333333,231.333333333333,2513,391,41,61.5362410935742,1126,145,592,373
"2",259.375,83.4166666666667,73.172514619883,816.902408770194,320,206,114,262,262.5,268.666666666667,250.333333333333,2702,467,59,60.3909485782025,1241,205,381,405
"2",252.791666666667,71.75,68.9903846153846,932.118392142166,305,201,104,257.333333333333,251.666666666667,262,243.5,2930,441,68,53.6841809781488,1210,220,719,532
"2",250.375,68.25,66.2621359223301,1028.48631051127,302,199,103,254.666666666667,246.833333333333,259,240.166666666667,2834,427,62,53.0068434247647,1116,200,641,336
"1",242.833333333333,106.333333333333,71.8468468468468,1077.52522293476,318,170,148,246.833333333333,242,254.833333333333,231.666666666667,2071,314,30,65.2687302950204,909,103,485,286
"1",277.708333333333,118.25,73.4472049689441,1009.37837155831,365,204,161,276.166666666667,278,292.166666666667,267,1815,388,2,99.4434213204255,811,14,244,454
"1",255.666666666667,100.833333333333,71.5130023640662,1114.23298798553,329,188,141,260.666666666667,257,268,243.333333333333,1968,325,31,60.1375833037863,871,131,486,301
"1",246.375,102.916666666667,69.5382882882883,1057.25308744363,319,171,148,249,248,257.833333333333,237.666666666667,1521,253,13,73.872192808515,705,54,355,184
"1",263.791666666667,97.0833333333333,72.4502487562189,827.773117063687,336,202,134,265,271,275.333333333333,255.666666666667,1894,279,22,62.0207671909468,791,94,190,555
"2",255.625,77.25,70.8715596330275,844.803635064494,311,202,109,259.833333333333,256.5,264.666666666667,247.166666666667,2683,419,55,61.7924134015181,1220,176,682,397
"2",242.333333333333,69.3333333333333,63.6085626911315,1194.36809716065,297,188,109,248.166666666667,236.5,251.333333333333,230.166666666667,2654,399,58,53.4805712188765,1032,183,591,298
"2",247.25,96.3333333333333,71.8905472636816,975.961064797157,318,184,134,251.5,250,258.333333333333,236.666666666667,2205,347,38,58.1641910041346,952,153,563,342
"1",234.416666666667,116.333333333333,69.6606786427146,1386.26924666258,319,152,167,241.666666666667,233.833333333333,250.166666666667,219.166666666667,1558,235,24,64.0877711480063,678,92,395,208
"2",250.583333333333,90.6666666666667,73.7127371273713,833.348484710746,316,193,123,253.5,253.166666666667,260,241.333333333333,2533,409,45,62.9620707327839,1152,165,329,345
"1",247.583333333333,90.8333333333333,73.252688172043,826.227278145375,312,188,124,249,250.666666666667,257.5,238.833333333333,1890,285,20,65.9619455576817,810,96,429,302
"2",254.416666666667,90.1666666666667,68.3080808080808,1154.99573657878,323,191,132,259,254.833333333333,267,242,2128,348,33,56.100928476368,923,160,515,373
